system:index,elevation,nwsli,.geo
0000000000000000005f_0,91.98482,BVDC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,368.5004,BVRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,-78.69681,BWBC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,1697.7587,BWKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,124.09093,BWXC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,936.8352,BZRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0,567.4278,CAHC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,241.60826,CAPC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0,757.7234,CAZC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,1062.7611,CBIC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,3306.8765,CBTC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,66.7964,CBWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,1826.2767,CBXC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,852.7519,CCEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,1467.2896,CDEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,508.1641,CEEC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,1159.7524,CEKC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,1383.1406,CESC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,1453.7047,CEVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,202.40063,CFAC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,1003.7063,CFCC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0,767.3433,CFFC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,803.2933,CFRC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,90.85,CFWC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,1438.5027,CGVC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,1346.146,CHAC1,"{""type"":""MultiPoint"",""coordinates"":[]}"
