nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
AAB632A8,OXBM3,MA,42.5147,-71.6156,FWSBID,PC,US,UD,TA,XR,VB,UR,UP,RW,,,,,,,,,,,,,,,
CE39C7E0,OXCM3,MA,42.1158,-71.8906,CENED1,HT,,,,,,,,,,,,,,,,,,,,,,,
170C8462,PEBM3,MA,42.5364,-71.0122,USGS01,PC,VB,,,,,,,,,,,,,,,,,,,,,,
16FCC4DE,POPM3,MA,41.6,-70.4661,USGS01,HM,PC,UD,US,TA,XR,PA,,,,,,,,,,,,,,,,,
170C9714,PVHM3,MA,42.0497,-70.1822,USGS01,HM,,,,,,,,,,,,,,,,,,,,,,,
DDB9C53A,QUAM3,MA,41.5922,-70.5083,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE321220,RYLM3,MA,42.6322,-72.125,CENED1,TA,HP,PC,HT,,,,,,,,,,,,,,,,,,,,
CE4D0CBA,SANM3,MA,41.7522,-70.4825,CENED1,HM,PA,US,UD,TA,,,,,,,,,,,,,,,,,,,
DDB9D64C,SAXM3,MA,42.3253,-71.3975,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DF0C30F2,SDMM3,MA,41.5853,-70.9908,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDEA5314,SESM3,MA,41.7519,-70.1539,USGS01,HM,VB,,,,,,,,,,,,,,,,,,,,,,
1654A3C8,SHUM3,MA,42.455,-72.3822,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD0F34B8,SHVM3,MA,42.6383,-72.7256,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
1655F14E,SMMM3,MA,42.5694,-71.0275,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
CE39F27A,SRLM3,MA,42.63,-72.1503,CENED1,HT,TW,VB,,,,,,,,,,,,,,,,,,,,,
CE32B2D8,STBM3,MA,42.0825,-72.0583,CENED1,HT,PC,HP,,,,,,,,,,,,,,,,,,,,,
1686C020,STEM3,MA,42.4108,-71.7917,USGS01,HG,WC,TW,PC,VB,,,,,,,,,,,,,,,,,,,
16850230,SVNM3,MA,42.2647,-72.0047,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD3A13E4,TDVM3,MA,42.2539,-71.2939,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDAF447E,TNMM3,MA,41.8997,-71.09,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE32D73E,UXBM3,MA,42.1047,-71.6078,CENED1,TA,HP,PC,HT,,,,,,,,,,,,,,,,,,,,
3B030074,WAQM3,MA,41.5528,-70.5486,NOAERD,TW,WC,WS,WX,WO,HM,WP,WT,WF,VB,,,,,,,,,,,,,,
3B022462,WAXM3,MA,41.58,-70.515,NOAERD,TA,VJ,DJ,VJ,DJ,XR,PA,US,UD,UE,VU,DU,PP,RS,VB,EP,,,,,,,,
DD4763BE,WBBM3,MA,42.3786,-71.2222,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
17D2307E,WBFM3,MA,42.1822,-72.2642,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
DF0C161E,WBOM3,MA,42.3644,-71.7758,USGS01,HG,TW,WC,VB,,,,,,,,,,,,,,,,,,,,
CE45BB92,WDEM3,MA,42.5358,-72.6539,CENED1,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE466AF4,WEBM3,MA,42.0508,-71.8856,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
DDEAB0E6,WELM3,MA,42.3164,-71.2283,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
172A405C,WGTM3,MA,42.6342,-71.6583,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
17C8964A,WILM3,MA,42.7003,-73.1594,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
16DAA018,WINM3,MA,42.6825,-72.1156,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD434068,WLFM3,MA,41.9311,-70.0644,USGS01,HM,TW,,,,,,,,,,,,,,,,,,,,,,
1668724C,WLMM3,MA,42.5681,-71.2153,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
177D462A,WLTM3,MA,42.3722,-71.2342,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
1683A206,WNDM3,MA,42.6842,-72.0839,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE123522,WNGM3,MA,41.7411,-70.5994,CENED1,HM,PA,US,UD,TA,,,,,,,,,,,,,,,,,,,
16FD104C,WRIM3,MA,42.3911,-72.0656,USGS01,HG,TW,PC,VB,,,,,,,,,,,,,,,,,,,,
CE45E53C,WSFM3,MA,42.1067,-72.6994,CENED1,HG,TW,,,,,,,,,,,,,,,,,,,,,,
17C987C6,WTHM3,MA,42.1903,-70.9453,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
165475A0,WWRM3,MA,42.2678,-72.3331,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DDE684E0,XBRM3,MA,42.0547,-71.6169,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
