nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
518E8056,CAYN6,NY,42.9481,-76.7342,CANALS,HP,HT,PP,VB,,,,,,,,,,,,,,,,,,,,
DF04FF98,CBSN6,NY,42.6725,-74.4817,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
1667C750,CCCN6,NY,41.7608,-75.0486,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
1667F2CA,CCRN6,NY,41.7567,-75.0578,USGS01,TW,HG,TW,WC,WP,WO,,,,,,,,,,,,,,,,,,
DD23C44E,CFBN6,NY,42.9628,-76.7372,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DD0EA320,CGHN6,NY,43.8972,-75.4044,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
CE197580,CGSN6,NY,42.3275,-78.8603,CELRP1,PC,,,,,,,,,,,,,,,,,,,,,,,
DD01C054,CHAN6,NY,44.8467,-75.0781,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE7EC608,CHCN6,NY,43.1006,-77.8825,CELRB1,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
DD66A5B4,CHEN6,NY,42.0864,-76.8014,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
DF079D70,CHIN6,NY,42.1019,-74.3108,USGS01,HG,WT,,,,,,,,,,,,,,,,,,,,,,
1715D5DC,CHON6,NY,42.4417,-75.5967,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
1715F330,CHRN6,NY,43.1006,-77.8825,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
17F0C4E0,CHSN6,NY,41.845,-74.5408,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
1707E22C,CHZN6,NY,44.9022,-73.415,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE49F904,CINN6,NY,42.5411,-75.9,CENAB1,HG,PC,,,,,,,,,,,,,,,,,,,,,,
DD01D322,CKFN6,NY,41.9464,-74.98,USGS01,HG,TW,,,,,,,,,,,,,,,,,,,,,,
DD830706,CKLN6,NY,42.0353,-75.8031,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
16D2B7C8,CKNN6,NY,41.1822,-74.0281,NWSERH,DY,TA,PC,PC,VB,,,,,,,,,,,,,,,,,,,
518F7228,CLEN6,NY,43.2317,-75.8811,CANALS,HP,VB,,,,,,,,,,,,,,,,,,,,,,
DD83329C,CMGN6,NY,42.0022,-76.635,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE4A26B0,CMPN6,NY,42.2525,-77.2169,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
16D21730,CNDN6,NY,42.8733,-77.2725,NWSERH,HP,VB,,,,,,,,,,,,,,,,,,,,,,
518EB5CC,CNGN6,NY,42.8775,-77.2817,CANALS,PP,TA,XR,VB,,,,,,,,,,,,,,,,,,,,
DDA3E51A,CNJN6,NY,42.8761,-74.6031,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
CE4A005C,CNON6,NY,42.2181,-75.8481,CENAB1,HG,,,,,,,,,,,,,,,,,,,,,,,
17C6444A,CNQN6,NY,40.7719,-73.1592,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDAA2658,CNSN6,NY,42.7942,-77.7206,USGS01,HP,,,,,,,,,,,,,,,,,,,,,,,
DF108BAC,CNVN6,NY,42.0886,-75.3125,USGS01,HP,HP,TW,TW,TW,,,,,,,,,,,,,,,,,,,
17C484A0,COHN6,NY,42.7853,-73.7081,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DDAD8494,COSN6,NY,43.2597,-76.0028,USGS01,HG,HG,,,,,,,,,,,,,,,,,,,,,,
