nesdis_id,nwsli,state_code,latitude_d,longitude_d,owner_code,pe1,pe2,pe3,pe4,pe5,pe6,pe7,pe8,pe9,pe10,pe11,pe12,pe13,pe14,pe15,pe16,pe17,pe18,pe19,pe20,pe21,p322,pe23,pe24,pe25
03300496,MLTN3,NH,43.4131,-70.9875,NHDESB,PC,HG,HP,TA,TW,,,,,,,,,,,,,,,,,,,
15CEE350,NAAN3,NH,42.7914,-71.4736,NWSERH,DY,TA,PC,PC,VB,,,,,,,,,,,,,,,,,,,
175F124C,NCHN3,NH,43.2567,-71.37,USGS01,HG,TA,TW,VB,,,,,,,,,,,,,,,,,,,,
0330227A,NISN3,NH,42.7236,-71.8494,NHDESB,TA,PC,VB,,,,,,,,,,,,,,,,,,,,,
DD3EE65A,NPEN3,NH,42.7828,-71.3542,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
DD3EF52C,NSHN3,NH,42.7667,-71.45,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
175D6128,NSLN3,NH,42.8492,-71.2156,USGS01,HG,PC,VB,,,,,,,,,,,,,,,,,,,,,
172B3436,NSTN3,NH,44.7497,-71.6317,USGS01,TA,TW,HG,PC,VB,,,,,,,,,,,,,,,,,,,
CE320156,OTRN3,NH,42.9458,-72.2372,CENED1,TA,PC,HG,HP,,,,,,,,,,,,,,,,,,,,
17C274EA,OYSN3,NH,43.1486,-70.9656,USGS01,HG,,,,,,,,,,,,,,,,,,,,,,,
DE2A9088,PEAN3,NH,44.3814,-71.1706,USGS01,HG,VB,,,,,,,,,,,,,,,,,,,,,,
CE4694A2,PLMN3,NH,43.7592,-71.6861,CENED1,HG,TW,WV,,,,,,,,,,,,,,,,,,,,,
0330A46E,POON3,NH,43.5728,-71.3556,NHDESB,PC,TA,,,,,,,,,,,,,,,,,,,,,,
0331E59E,PTFN3,NH,43.3058,-71.3314,NHDESB,HP,TW,PC,QT,TA,,,,,,,,,,,,,,,,,,,
CE5DA50E,PTRN3,NH,42.8625,-71.9597,CENED1,HG,HG,,,,,,,,,,,,,,,,,,,,,,
171E26F0,PTSN3,NH,45.0403,-71.4436,USGS01,TA,TW,HG,PC,VB,,,,,,,,,,,,,,,,,,,
0331C372,PWPN3,NH,42.9081,-71.0164,NHDESB,PC,HP,VB,,,,,,,,,,,,,,,,,,,,,
DD0FC43C,RAYN3,NH,43.0414,-71.2017,USGS01,HG,TA,TW,VB,,,,,,,,,,,,,,,,,,,,
CE46A138,RUMN3,NH,43.7956,-71.8458,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
CE46AFEA,RVHN3,NH,43.2497,-71.62,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
DD14A5EC,SANN3,NH,42.9489,-71.1653,USGS01,HG,TA,TW,VB,,,,,,,,,,,,,,,,,,,,
DD0F515E,SBPN3,NH,43.0147,-71.6419,USGS01,HG,TA,TW,VB,,,,,,,,,,,,,,,,,,,,
6370F5A0,SECN3,NH,45.1417,-71.1817,NEPWRC,HP,PC,TA,XR,VB,,,,,,,,,,,,,,,,,,,
0330B718,SHAN3,NH,43.7303,-71.3578,NHDESB,PC,TA,VB,,,,,,,,,,,,,,,,,,,,,
15C2E2CC,SLSN3,NH,43.3539,-71.7364,NWSERH,DY,TA,PC,PC,VB,YV,,,,,,,,,,,,,,,,,,
0332278E,SLVN3,NH,43.4711,-71.5336,NHDESB,TA,PC,HP,,,,,,,,,,,,,,,,,,,,,
CE46D97A,SOHN3,NH,42.8575,-71.5067,CENED1,HG,,,,,,,,,,,,,,,,,,,,,,,
175D2222,SOUN3,NH,43.2136,-71.4808,USGS01,HG,PC,TA,TW,HG,WV,VB,,,,,,,,,,,,,,,,,
0331638A,SQAN3,NH,43.7056,-71.63,NHDESB,HG,,,,,,,,,,,,,,,,,,,,,,,
03315610,SQLN3,NH,43.7311,-71.5875,NHDESB,HP,HP,,,,,,,,,,,,,,,,,,,,,,
DE18930C,SWAN3,NH,42.8714,-72.3286,USGS01,HG,TA,TW,PC,VB,,,,,,,,,,,,,,,,,,,
CD03F96C,THON3,NH,43.1092,-70.9483,NOACRD,DY,DJ,XR,PC,PC,PC,US,UP,TV,MS,TV,MS,RW,DH,TA,PP,PC,,,,,,,
